Produto;Regiao;Empresa;Quantidade
PRODUTO1;REGIAO1;EMPRESA1;1000
PRODUTO1;REGIAO2;EMPRESA1;1500
PRODUTO1;REGIAO3;EMPRESA1;1600
PRODUTO1;REGIAO4;EMPRESA1;1800
PRODUTO1;REGIAO5;EMPRESA1;1700
PRODUTO2;REGIAO1;EMPRESA1;2000
PRODUTO2;REGIAO2;EMPRESA1;2500
PRODUTO2;REGIAO3;EMPRESA1;2600
PRODUTO2;REGIAO4;EMPRESA1;2800
PRODUTO2;REGIAO5;EMPRESA1;2700
PRODUTO3;REGIAO1;EMPRESA1;3000
PRODUTO3;REGIAO2;EMPRESA1;3500
PRODUTO3;REGIAO3;EMPRESA1;3600
PRODUTO3;REGIAO4;EMPRESA1;3800
PRODUTO3;REGIAO5;EMPRESA1;3700
PRODUTO4;REGIAO1;EMPRESA1;4000
PRODUTO4;REGIAO2;EMPRESA1;4500
PRODUTO4;REGIAO3;EMPRESA1;4600
PRODUTO4;REGIAO4;EMPRESA1;4800
PRODUTO4;REGIAO5;EMPRESA1;4700
PRODUTO5;REGIAO1;EMPRESA1;5000
PRODUTO5;REGIAO2;EMPRESA1;5500
PRODUTO5;REGIAO3;EMPRESA1;5600
PRODUTO5;REGIAO4;EMPRESA1;5800
PRODUTO5;REGIAO5;EMPRESA1;5700
PRODUTO1;REGIAO1;EMPRESA2;1500
PRODUTO1;REGIAO2;EMPRESA2;1600
PRODUTO1;REGIAO3;EMPRESA2;1450
PRODUTO1;REGIAO4;EMPRESA2;1850
PRODUTO1;REGIAO5;EMPRESA2;1600
PRODUTO2;REGIAO1;EMPRESA2;2100
PRODUTO2;REGIAO2;EMPRESA2;2200
PRODUTO2;REGIAO3;EMPRESA2;2250
PRODUTO2;REGIAO4;EMPRESA2;2230
PRODUTO2;REGIAO5;EMPRESA2;2780
PRODUTO3;REGIAO1;EMPRESA2;3100
PRODUTO3;REGIAO2;EMPRESA2;3200
PRODUTO3;REGIAO3;EMPRESA2;3500
PRODUTO3;REGIAO4;EMPRESA2;3800
PRODUTO3;REGIAO5;EMPRESA2;3700
PRODUTO4;REGIAO1;EMPRESA2;4830
PRODUTO4;REGIAO2;EMPRESA2;4840
PRODUTO4;REGIAO3;EMPRESA2;4860
PRODUTO4;REGIAO4;EMPRESA2;4700
PRODUTO4;REGIAO5;EMPRESA2;4750
PRODUTO5;REGIAO1;EMPRESA2;5500
PRODUTO5;REGIAO2;EMPRESA2;5560
PRODUTO5;REGIAO3;EMPRESA2;5570
PRODUTO5;REGIAO4;EMPRESA2;5850
PRODUTO5;REGIAO5;EMPRESA2;5900
